#i cr sl tb dcc spigot  fiber fibcha  subdet  ieta  iphi  depth

#VME crate                                                                     
420075C    0       4       t       0       1       2 0 HB 1 1 1
420059C    0       4       t       0       1       2 1 HB 2 1 1
420060C    0       4       t       0       1       2 2 HB 3 1 1
420061C    0       4       t       0       1       3 0 HB 4 1 1
420062C    0       4       t       0       1       3 1 HB 5 1 1
420063C    0       4       t       0       1       3 2 HB 6 1 1
420064C    0       4       t       0       1       4 0 HB 7 1 1
420065C    0       4       t       0       1       4 1 HB 8 1 1
420066C    0       4       t       0       1       4 2 HB 9 1 1
420067C    0       4       t       0       1       5 0 HB 10  1 1
420068C    0       4       t       0       1       5 1 HB 11  1 1
420069C    0       4       t       0       1       5 2 HB 12  1 1
420070C    0       4       t       0       1       6 0 HB 13  1 1
420071C    0       4       t       0       1       6 1 HB 14  1 1
420072C    0       4       t       0       1       6 2 HB 15  1 1
420073C    0       4       t       0       1       7 0 HB 15  1 2
420074C    0       4       t       0       1       7 1 HB 16  1 1
420075C    0       4       t       0       1       7 2 HB 16  1 2
420075C    0       4       b       0       2       2 0 HB 1   2 1
420059C    0       4       b       0       2       2 1 HB 2   2 1
420060C    0       4       b       0       2       2 2 HB 3   2 1
420061C    0       4       b       0       2       3 0 HB 4   2 1
420062C    0       4       b       0       2       3 1 HB 5   2 1
420063C    0       4       b       0       2       3 2 HB 6   2 1
420064C    0       4       b       0       2       4 0 HB 7   2 1
420065C    0       4       b       0       2       4 1 HB 8   2 1
420066C    0       4       b       0       2       4 2 HB 9   2 1
420067C    0       4       b       0       2       5 0 HB 10  2 1
420068C    0       4       b       0       2       5 1 HB 11  2 1
420069C    0       4       b       0       2       5 2 HB 12  2 1
420070C    0       4       b       0       2       6 0 HB 13  2 1
420071C    0       4       b       0       2       6 1 HB 14  2 1
420072C    0       4       b       0       2       6 2 HB 15  2 1
420073C    0       4       b       0       2       7 0 HB 15  2 2
420074C    0       4       b       0       2       7 1 HB 16  2 1
420075C    0       4       b       0       2       7 2 HB 16  2 2
420075C    0       6       t       0       3       2 0 HB 1   3 1
420059C    0       6       t       0       3       2 1 HB 2   3 1
420060C    0       6       t       0       3       2 2 HB 3   3 1
420061C    0       6       t       0       3       3 0 HB 4   3 1
420062C    0       6       t       0       3       3 1 HB 5   3 1
420063C    0       6       t       0       3       3 2 HB 6   3 1
420064C    0       6       t       0       3       4 0 HB 7   3 1
420065C    0       6       t       0       3       4 1 HB 8   3 1
420066C    0       6       t       0       3       4 2 HB 9   3 1
420067C    0       6       t       0       3       5 0 HB 10  3 1
420068C    0       6       t       0       3       5 1 HB 11  3 1
420069C    0       6       t       0       3       5 2 HB 12  3 1
420070C    0       6       t       0       3       6 0 HB 13  3 1
420071C    0       6       t       0       3       6 1 HB 14  3 1
420072C    0       6       t       0       3       6 2 HB 15  3 1
420073C    0       6       t       0       3       7 0 HB 15  3 2
420074C    0       6       t       0       3       7 1 HB 16  3 1
420075C    0       6       t       0       3       7 2 HB 16  3 2
                                                                                                                                     
                                                                                                                                               
# UHTR QIE8                                                                                                                                             
420075C 28  10 u 0 0 3 0 HB 1 4 1
420075C 28  10 u 0 0 3 1 HB 2 4 1
420075C 28  10 u 0 0 3 2 HB 3 4 1
420075C 28  10 u 0 0 4 0 HB 4 4 1
420075C 28  10 u 0 0 4 1 HB 5 4 1
420075C 28  10 u 0 0 4 2 HB 6 4 1
420075C 28  10 u 0 0 5 0 HB 7 4 1
420075C 28  10 u 0 0 5 1 HB 8 4 1
420075C 28  10 u 0 0 5 2 HB 9 4 1
420075C 28  10 u 0 0 6 0 HB 10  4 1
420075C 28  10 u 0 0 6 1 HB 11  4 1
420075C 28  10 u 0 0 6 2 HB 12  4 1
420075C 28  10 u 0 0 7 0 HB 13  4 1
420075C 28  10 u 0 0 7 1 HB 14  4 1
420075C 28  10 u 0 0 7 2 HB 15  4 1
420075C 28  10 u 0 0 8 0 HB 15  4 2
420075C 28  10 u 0 0 8 1 HB 16  4 1
420075C 28  10 u 0 0 8 2 HB 16  4 2
                                                                                                                                                                               
# uTCA QIE11                                                                                                                                                                            
420075C 28  11 u 0 0 3 0 HB 1 5 1
420075C 28  11 u 0 0 3 1 HB 2 5 1
420075C 28  11 u 0 0 3 2 HB 3 5 1
420075C 28  11 u 0 0 4 0 HB 4 5 1
420075C 28  11 u 0 0 4 1 HB 5 5 1
420075C 28  11 u 0 0 4 2 HB 6 5 1
420075C 28  11 u 0 0 5 0 HB 7 5 1
420075C 28  11 u 0 0 5 1 HB 8 5 1
420075C 28  11 u 0 0 5 2 HB 9 5 1
420075C 28  11 u 0 0 6 0 HB 10  5 1
420075C 28  11 u 0 0 6 1 HB 11  5 1
420075C 28  11 u 0 0 6 2 HB 12  5 1
420075C 28  11 u 0 0 7 0 HB 13  5 1
420075C 28  11 u 0 0 7 1 HB 14  5 1
420075C 28  11 u 0 0 7 2 HB 15  5 1
420075C 28  11 u 0 0 8 0 HB 15  5 2
420075C 28  11 u 0 0 8 1 HB 16  5 1
420075C 28  11 u 0 0 8 2 HB 16  5 2
